# identity	declared-params	shape	result	fixture	native-status	fuel	comparison
stdlib.serialize/encode-tuple-elements	6	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/decode-tuple-items	7	variadic	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/encode-enum-payload-elements	6	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/encode-enum-dispatch	5	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/decode-enum-payload-items	8	variadic	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/decode-enum-variants	7	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/encode-value	4	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/decode-value	5	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/encode-field	4	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/encode-fields	4	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/decode-field	6	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/decode-fields	6	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/enum-source-import	2	fixed	decls	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/nested-import-for-type	3	fixed	decls	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/nested-imports-for-tuple	4	fixed	decls	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/nested-imports-for-enum-payloads	5	fixed	decls	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/nested-imports-for-enum	4	fixed	decls	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/nested-imports	3	fixed	decls	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.serialize/serialize	2	fixed	module	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.sort/vec	1	fixed	module	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.sync/channel	1	fixed	module	tests/integration/sync_channel_thread_runtime.tl	ok	default	assembly
stdlib.sync/mutex	1	fixed	module	tests/integration/sync_mutex_thread_runtime.tl	ok	default	assembly
stdlib.str_cat/str-cat	1	variadic	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.str_cat_runtime/str-cat-pack	3	fixed	expr	tests/integration/tlci_native_format_scanner.tl	ok	default	assembly
stdlib.str_cat_runtime/str-cat	1	variadic	expr	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.str_cat_runtime/str-cat-scoped	1	variadic	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.thread/handle	1	fixed	module	stdlib/tests/thread_api.tl	ok	default	assembly
stdlib.text_buf/append!	2	fixed	expr	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.text_buf/append-char!	2	fixed	expr	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.text_buf/append-int!	2	fixed	expr	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.text_buf/clear!	1	fixed	expr	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.text_buf/reset!	1	fixed	expr	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
stdlib.text_buf_family/text-buf-family-shared-view	1	fixed	expr	tests/integration/stdlib_text_buf.tl	ok	default	assembly
stdlib.text_buf_family/text-buf-owned-store-write!	3	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.text_buf_family/text-buf-owned-store-commit!	3	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.text_buf_family/owned	0	fixed	decls	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.text_buf_family/borrowed	0	fixed	decls	tests/integration/stdlib_text_buf.tl	ok	default	assembly
stdlib.vector/vector	2	variadic	module	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.option/option	1	fixed	module	tests/integration/generated_option_result_families.tl	ok	default	assembly
stdlib.set/set	1	fixed	module	tests/integration/tlci_identity_public_gaps.tl	ok	default	assembly
